model,model_label,distribution_path,install_prefix,modalities,file_count,total_size_bytes,tree_sha256,notes
sphere2vec_fixed,PE,embeddings/sphere2vec_fixed/baselines/artifacts/sphere2vec_fixed,baselines/artifacts/sphere2vec_fixed,location,64,3443739157,ef75d065c2f517a65f540506f365201a50a2ad026ea22b4425261442f6735e29,Deterministic position embedding baseline generated at task coordinates. Availability follows the embedding manifest.
place2vec,Place2Vec,embeddings/place2vec/baselines/artifacts/place2vec,baselines/artifacts/place2vec,poi,9,8753635,a5ac9046e8e74ac4fd2d8250202219b37e2d1c430e4ee76011b34246a5616813,Availability follows the embedding manifest.
space2vec,Space2Vec,embeddings/space2vec/baselines/artifacts/space2vec,baselines/artifacts/space2vec,location+poi,64,7409688410,aa34aec8069de1ee026141ba72175866715a3eb7ffa3c57a25874492d3b934c8,Availability follows the embedding manifest.
calliper,CaLLiPer,embeddings/calliper/baselines/artifacts/calliper,baselines/artifacts/calliper,location+poi,64,7427229652,921f6ee21ca52c53f60f02d0f44005c3b8be03842cfd0d6a9d6cdf6393b9e60a,Availability follows the embedding manifest.
cityfm,CityFM,embeddings/cityfm/baselines/artifacts/cityfm,baselines/artifacts/cityfm,poi+openstreetmap,9,121323992,cdea18a92535287b9cbfc106ccb62557a356981e5f4adcba09fd6a8008582634,Availability follows the embedding manifest.
urban2vec,Urban2Vec,embeddings/urban2vec/baselines/artifacts/urban2vec,baselines/artifacts/urban2vec,poi+street_view,9,10168421,41401719b8427a85092a752ce65f332f87f2a0b24170174b6647eab62553ef2b,Urban2Vec uses street-view imagery and POIs; it does not use a remote-sensing input in this reproduction. Availability follows the embedding manifest.
muse,MuseCL,embeddings/muse/baselines/artifacts/muse,baselines/artifacts/muse,poi+remote_sensing+street_view,9,9156960,38529ce36d97b3a16f31c5ca0f129872557c30a7d9b88b9b90f74488c4a6fa9a,"MuseCL uses street-view imagery, remote-sensing imagery, and POI inputs; the release provides the frozen region embeddings, not raw inputs. Availability follows the embedding manifest."
satclip,SatCLIP,embeddings/satclip/baselines/artifacts/satclip,baselines/artifacts/satclip,location+remote_sensing,64,12762121638,914c33eb8be84ef1f228e0d2015242c78b8387ceb6e40d160b1c5ac306ac4062,Availability follows the embedding manifest.
tessera,TESSERA,embeddings/tessera/baselines/artifacts/tessera,baselines/artifacts/tessera,remote_sensing,65,9519119670,b3b7c8a3735c7f303e6e8a3baa30ebd0b7269c34ed393594d2f3acbe23b19968,GeoTessera/API-derived raster representation; prepared city/task exports are provided in the model directory. Availability follows the embedding manifest.
alphaearth,AlphaEarth,embeddings/alphaearth/baselines/artifacts/alphaearth,baselines/artifacts/alphaearth,remote_sensing,71,4374524363,538ff9b3dd000dff09e88c96058c65cdcc01fa8f4960155492dfb1ca07319cdb,Frozen task-grid rasters plus exact pre-normalization sample_id tables for native land-use rows; source city rasters are not redistributed. Availability follows the embedding manifest.
aether,AETHER,embeddings/aether/baselines/artifacts/aether,baselines/artifacts/aether,poi+remote_sensing,81,9149892915,7ca525c64a38f75fb85ea14f6b965a8f17b64b84d677cbf42dd2551c26151dce,"AETHER was pretrained for 100 epochs with AlphaEarth pixels and Foursquare POI descriptions using AE-AE and AE-POI contrastive objectives. No CityRep labels, splits, validation results, or benchmark metrics were used for training or checkpoint selection. Direct native-raster rows are released as exact pre-normalization sample_id tables. Availability follows the embedding manifest."
