model,model_label,package_path,extract_prefix,logical_rows,unique_artifact_paths,modalities,size_bytes,sha256,notes,manifest_rows,synthetic_demo_rows
sphere2vec_fixed,PE,embeddings/packages/sphere2vec_fixed.zip,baselines/artifacts/sphere2vec_fixed,63,63,location,3443757745,d282ae7ef824be4c3b47a72af96fa2a641527feb1156c3be699c4536fce8b185,Deterministic position embedding baseline generated at task coordinates. Availability follows the embedding manifest.,64,1
place2vec,Place2Vec,embeddings/packages/place2vec.zip,baselines/artifacts/place2vec,63,8,poi,8755853,3aea5fe968964fd5cae1dc0e0b4073d22edba01c9dbc717fdb80bacb46d6ea27,Availability follows the embedding manifest.,64,1
space2vec,Space2Vec,embeddings/packages/space2vec.zip,baselines/artifacts/space2vec,63,63,location+poi,7409707870,d6c845c5103069fada7977c40ccd4ea1584a212cea39c77888cd370f866f0cec,Availability follows the embedding manifest.,64,1
calliper,CaLLiPer,embeddings/packages/calliper.zip,baselines/artifacts/calliper,63,63,location+poi,7427247038,bdd44a902fbf35b13d101cb2f1f7b64d55028edefa4902aa89064a37bd567503,Availability follows the embedding manifest.,64,1
cityfm,CityFM,embeddings/packages/cityfm.zip,baselines/artifacts/cityfm,63,8,poi+openstreetmap,121326124,cd78753022eb1ea9b1baffd6595867f72e5d8b549e4188042031bf687ee65f84,Availability follows the embedding manifest.,64,1
urban2vec,Urban2Vec,embeddings/packages/urban2vec.zip,baselines/artifacts/urban2vec,63,8,poi+street_view,10170191,eb834ae879588a1ceccca263d4c562a9a5612aebaa30d63ffcabcc7e67705206,Urban2Vec uses street-view imagery and POIs; it does not use a remote-sensing input in this reproduction. Availability follows the embedding manifest.,64,1
muse,MuseCL,embeddings/packages/muse.zip,baselines/artifacts/muse,63,8,poi+remote_sensing+street_view,9158944,bc56be7b1d5bf08fd7622abdc3215bfc8b9884141c03ee04a9166d507d042323,"MuseCL uses street-view imagery, remote-sensing imagery, and POI inputs; the release provides the frozen region embeddings, not raw inputs. Availability follows the embedding manifest.",64,1
satclip,SatCLIP,embeddings/packages/satclip.zip,baselines/artifacts/satclip,63,63,location+remote_sensing,12762140186,42b4c3647a45c994555f0ebacd9754c07965e96edf13bd60ce5d21ced465338b,Availability follows the embedding manifest.,64,1
tessera,TESSERA,embeddings/packages/tessera.zip,baselines/artifacts/tessera,63,63,remote_sensing,9519137760,9d413baf324ef3aa9984eedecafbde02bf33500e5888db9e36b3ad5d1b1f74ef,GeoTessera/API-derived raster representation; prepared city/task exports are provided in the model artifact package. Availability follows the embedding manifest.,64,1
alphaearth,AlphaEarth,embeddings/packages/alphaearth.zip,baselines/artifacts/alphaearth,63,63,remote_sensing,4374543137,078c704ae800313a723149d4bd9f8fbd7501203dd92526f7890494840c3bcf81,Frozen task-grid rasters plus exact pre-normalization sample_id tables for native land-use rows; source city rasters are not redistributed. Availability follows the embedding manifest.,64,1
aether,AETHER,embeddings/packages/aether.zip,baselines/artifacts/aether,63,63,poi+remote_sensing,9149914049,f3a246799316a5d1c0153197d7bc2ef3ed75ef89ea7905c91afe98cc9ed049d9,"AETHER was pretrained for 100 epochs with AlphaEarth pixels and Foursquare POI descriptions using AE-AE and AE-POI contrastive objectives. No CityRep labels, splits, validation results, or benchmark metrics were used for training or checkpoint selection. Direct native-raster rows are released as exact pre-normalization sample_id tables. Availability follows the embedding manifest.",64,1
