task_id,task_type,source_type,samples_path,sample_id_col,crs,labels_path,task_meta_path,source,license,label_cols,renormalize_distribution,city,task,label_col,normalization,label_id_col,class_names,split_method,n_blocks,availability,release_note
london.landuse.2026,classification,samples,../tasks/london.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/london.landuse.2026/task.json,CityRep synthetic schema demonstration; no third-party land-use records,CC BY 4.0,,,london,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0,synthetic_demo_only,Synthetic schema example; see task metadata.
london.road_density.2026,regression,samples,../tasks/london.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/london.road_density.2026/labels.tif,../tasks/london.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",ODbL 1.0; attribution required for OpenStreetMap contributors,,,london,road_density,label,zscore,,,,,full,
london.population.2024,regression,samples,../tasks/london.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.population.2024/labels.tif,../tasks/london.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",CC BY 4.0,,,london,population,label,zscore,,,,,full,
london.age_distribution.2024,distribution,samples,../tasks/london.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.age_distribution.2024/labels.tif,../tasks/london.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024",CC BY 4.0,"[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,london,age_distribution,,,,,,,full,
london.gdp.2024,regression,samples,../tasks/london.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.gdp.2024/labels.tif,../tasks/london.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",CC BY 4.0,,,london,gdp,label,zscore,,,,,full,
london.nightlight.2024,regression,samples,../tasks/london.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.nightlight.2024/labels.tif,../tasks/london.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",Public domain,,,london,nightlight,label,zscore,,,spatial_block,10.0,full,
london.pm25.2022,regression,samples,../tasks/london.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/london.pm25.2022/labels.tif,../tasks/london.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",CIESIN open data policy; cite DOI 10.7927/as2r-9p42,,,london,pm25,label,zscore,,,,,full,
london.lst_day_mean.2024,regression,samples,../tasks/london.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.lst_day_mean.2024/labels.tif,../tasks/london.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024","NASA/LP DAAC MODIS data; no restrictions on subsequent use, sale, or redistribution; cite DOI 10.5067/MODIS/MOD11A2.061",,,london,lst_day_mean,label,zscore,,,,,full,
new_york.landuse.2026,classification,samples,../tasks/new_york.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/new_york.landuse.2026/task.json,"NYC Primary Land Use Tax Lot Output (PLUTO) centroid table, harmonized to benchmark land-use groups",NYC Open Data Terms of Use,,,new_york,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0,full,
new_york.road_density.2026,regression,samples,../tasks/new_york.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.road_density.2026/labels.tif,../tasks/new_york.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",ODbL 1.0; attribution required for OpenStreetMap contributors,,,new_york,road_density,label,zscore,,,,,full,
new_york.population.2024,regression,samples,../tasks/new_york.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.population.2024/labels.tif,../tasks/new_york.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",CC BY 4.0,,,new_york,population,label,zscore,,,,,full,
new_york.age_distribution.2024,distribution,samples,../tasks/new_york.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.age_distribution.2024/labels.tif,../tasks/new_york.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024",CC BY 4.0,"[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,new_york,age_distribution,,,,,,,full,
new_york.gdp.2024,regression,samples,../tasks/new_york.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.gdp.2024/labels.tif,../tasks/new_york.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",CC BY 4.0,,,new_york,gdp,label,zscore,,,,,full,
