city,source_class,source_detail,mapped_group
cape_town,Agricultural,,Agriculture / Rural
cape_town,Community 1 : Local,,Institutional / Civic
cape_town,Community 2 : Regional,,Institutional / Civic
cape_town,General Business 1,,Commercial
cape_town,General Business 2,,Commercial
cape_town,General Business 3,,Commercial
cape_town,General Business 4,,Commercial
cape_town,General Business 5,,Commercial
cape_town,General Business 6,,Commercial
cape_town,General Business 7,,Commercial
cape_town,General Industrial 1,,Industrial
cape_town,General Industrial 2,,Industrial
cape_town,General Residential 1 : Group Housing,,Residential
cape_town,General Residential 2,,Residential
cape_town,General Residential 3,,Residential
cape_town,General Residential 4,,Residential
cape_town,General Residential 5,,Residential
cape_town,General Residential 6,,Residential
cape_town,Limited Use Zone,,Other
cape_town,Local Business 1 : Intermediate Business,,Commercial
cape_town,Local Business 2 : Local Business,,Commercial
cape_town,Mixed Use 1,,Mixed Use
cape_town,Mixed Use 2,,Mixed Use
cape_town,Mixed Use 3,,Mixed Use
cape_town,,,Other
cape_town,Open Space 1 : Environmental Conservation,,Green / Recreation
cape_town,Open Space 2 : Public Open Space,,Green / Recreation
cape_town,Open Space 3: Special Open Space,,Green / Recreation
cape_town,Residential 1 : Conventional Housing,,Residential
cape_town,Residential 2 : Incremental Housing,,Residential
cape_town,Risk Industry,,Industrial
cape_town,Rural,,Agriculture / Rural
cape_town,Transport 1 : Transport Use,,Transportation
cape_town,Transport 2 : Public Road and Public Parking,,Transportation
cape_town,Utility,,Utilities
jakarta,0,,Other
jakarta,Zona Badan Air,,Water
jakarta,Zona Badan Jalan,,Transportation
jakarta,Zona Ekosistem Mangrove,,Green / Recreation
jakarta,Zona Hutan Lindung,,Green / Recreation
jakarta,Zona Hutan produksi,,Green / Recreation
jakarta,Zona Kawasan Peruntukan Industri,,Industrial
jakarta,Zona Konservasi,,Green / Recreation
jakarta,Zona Pariwisata,,Commercial
jakarta,Zona Pelayanan Umum,,Institutional / Civic
jakarta,Zona Pembangkit Tenaga Listrik,,Utilities
jakarta,Zona Perdagangan dan Jasa,,Commercial
jakarta,Zona Perikanan,,Agriculture / Rural
jakarta,Zona Perkantoran,,Commercial
jakarta,Zona Perlindungan Setempat,,Green / Recreation
jakarta,Zona Pertahanan dan Keamanan,,Institutional / Civic
jakarta,Zona Pertanian,,Agriculture / Rural
jakarta,Zona Perumahan,,Residential
jakarta,Zona Ruang Terbuka Hijau,,Green / Recreation
jakarta,Zona Transportasi,,Transportation
mumbai,Area Under SPA,,Vacant / Reserve
mumbai,Cemetery,,Green / Recreation
mumbai,Commercial Activities,,Commercial
mumbai,Communication,,Utilities
mumbai,Educational Amenities,,Institutional / Civic
mumbai,Government Office,,Institutional / Civic
mumbai,Industrial Use,,Industrial
mumbai,Informal Market,,Commercial
mumbai,Law and Order,,Institutional / Civic
mumbai,Medical Amenities,,Institutional / Civic
mumbai,Municipal Chowkies,,Institutional / Civic
mumbai,Municipal Market,,Commercial
mumbai,Municipal Office,,Institutional / Civic
mumbai,Natural Areas,,Green / Recreation
mumbai,Open Spaces,,Green / Recreation
mumbai,Other Offices,,Commercial
mumbai,Primary Activity,,Agriculture / Rural
mumbai,Public Utility and Facity,,Utilities
mumbai,Residential,,Residential
mumbai,Slum / Cluster,,Residential
